device_id,store_id,product_id,quantity_on_hand,log_timestamp
DEV0001,STORE009,PROD0683,9,2024-06-07
DEV0002,STORE062,PROD0395,483,2024-05-09
DEV0003,STORE057,PROD0596,404,2024-09-03
DEV0004,STORE029,PROD0989,461,2024-11-06
DEV0005,STORE066,PROD0385,239,2024-04-19
DEV0006,STORE015,PROD0440,363,2024-05-08
DEV0007,STORE056,PROD0704,77,2024-03-04
DEV0008,STORE040,PROD0382,293,2024-12-21
DEV0009,STORE024,PROD0589,119,2024-04-07
DEV0010,STORE048,PROD0945,494,2024-10-04
DEV0011,STORE094,PROD0161,267,2024-04-03
DEV0012,STORE037,PROD0632,189,2024-07-09
DEV0013,STORE009,PROD0283,442,2024-09-09
DEV0014,STORE085,PROD0936,153,2024-04-26
DEV0015,STORE044,PROD0079,485,2024-11-18
DEV0016,STORE026,PROD0147,424,2024-04-22
DEV0017,STORE055,PROD0501,229,2024-09-24
DEV0018,STORE099,PROD0012,284,2024-05-21
DEV0019,STORE077,PROD0388,393,2024-08-11
DEV0020,STORE052,PROD0498,163,2024-06-19
DEV0021,STORE031,PROD0733,85,2024-05-18
DEV0022,STORE079,PROD0995,322,2024-06-01
DEV0023,STORE063,PROD0543,494,2024-06-26
DEV0024,STORE096,PROD0654,363,2024-03-13
DEV0025,STORE081,PROD0171,104,2024-05-31
DEV0026,STORE023,PROD0151,171,2024-10-08
DEV0027,STORE051,PROD0473,374,2024-08-02
DEV0028,STORE085,PROD0639,153,2024-11-27
DEV0029,STORE094,PROD0591,490,2024-11-27
DEV0030,STORE029,PROD0832,114,2024-08-26
DEV0031,STORE047,PROD0930,412,2024-07-24
DEV0032,STORE060,PROD0016,274,2024-12-06
DEV0033,STORE019,PROD0619,326,2024-11-28
DEV0034,STORE049,PROD0683,257,2024-01-20
DEV0035,STORE002,PROD0516,233,2024-05-10
DEV0036,STORE004,PROD0627,239,2024-05-09
DEV0037,STORE036,PROD0915,168,2024-12-05
DEV0038,STORE084,PROD0469,199,2024-03-25
DEV0039,STORE081,PROD0042,220,2024-02-10
DEV0040,STORE036,PROD0058,393,2024-02-12
DEV0041,STORE055,PROD0459,293,2024-01-19
DEV0042,STORE037,PROD0710,451,2024-12-30
DEV0043,STORE074,PROD0592,196,2024-11-04
DEV0044,STORE019,PROD0488,482,2024-12-23
DEV0045,STORE092,PROD0943,72,2024-12-15
DEV0046,STORE096,PROD0323,345,2024-09-12
DEV0047,STORE067,PROD0792,490,2024-04-02
DEV0048,STORE026,PROD0797,42,2024-01-25
DEV0049,STORE090,PROD0776,325,2024-10-26
DEV0050,STORE026,PROD0136,336,2024-09-04
DEV0051,STORE017,PROD0427,414,2024-07-29
DEV0052,STORE083,PROD0732,352,2024-06-08
DEV0053,STORE053,PROD0231,155,2024-05-11
DEV0054,STORE012,PROD0944,376,2024-10-07
DEV0055,STORE067,PROD0876,437,2024-03-05
DEV0056,STORE066,PROD0246,377,2024-10-31
DEV0057,STORE037,PROD0032,80,2024-03-21
DEV0058,STORE078,PROD0463,358,2024-08-14
DEV0059,STORE038,PROD0349,246,2024-06-28
DEV0060,STORE091,PROD0821,92,2024-01-18
DEV0061,STORE063,PROD0495,319,2024-10-13
DEV0062,STORE003,PROD0968,230,2024-10-01
DEV0063,STORE081,PROD0026,323,2024-11-21
DEV0064,STORE077,PROD0137,102,2024-11-26
DEV0065,STORE067,PROD0877,360,2024-02-17
DEV0066,STORE089,PROD0932,51,2024-02-10
DEV0067,STORE031,PROD0010,90,2024-03-17
DEV0068,STORE010,PROD0332,18,2024-11-01
DEV0069,STORE089,PROD0618,378,2024-12-08
DEV0070,STORE095,PROD0307,110,2024-07-01
DEV0071,STORE066,PROD0542,194,2024-02-24
DEV0072,STORE080,PROD0790,451,2024-08-12
DEV0073,STORE047,PROD0659,485,2024-04-24
DEV0074,STORE064,PROD0266,201,2024-05-06
DEV0075,STORE003,PROD0716,27,2024-01-13
DEV0076,STORE019,PROD0267,447,2024-06-08
DEV0077,STORE067,PROD0195,140,2024-09-05
DEV0078,STORE047,PROD0432,492,2024-11-09
DEV0079,STORE078,PROD0751,389,2024-09-28
DEV0080,STORE064,PROD0913,138,2024-11-28
DEV0081,STORE068,PROD0643,295,2024-10-24
DEV0082,STORE026,PROD0128,101,2024-06-22
DEV0083,STORE012,PROD0943,49,2024-12-15
