order_id,customer_id,product_id,order_date,order_amount
1,CUST0070,PROD0608,2024-03-22,583.98
2,CUST0054,PROD0615,2024-11-30,669.56
3,CUST0241,PROD0715,2024-05-27,37.02
4,CUST0503,PROD0479,2024-12-25,786.73
5,CUST0643,PROD0709,2024-01-17,509.46
6,CUST0134,PROD0770,2024-06-25,488.23
7,CUST0661,PROD0788,2024-03-15,570.32
8,CUST0846,PROD0541,2024-04-09,486.65
9,CUST0371,PROD0509,2024-07-24,756.97
10,CUST0225,PROD0155,2024-03-11,583.84
11,CUST0813,PROD0539,2024-09-13,463.22
12,CUST0559,PROD0455,2024-07-16,713.86
13,CUST0470,PROD0670,2024-12-27,458.59
14,CUST0553,PROD0664,2024-06-20,24.41
15,CUST0291,PROD0584,2024-05-19,624.39
16,CUST0677,PROD0122,2024-01-11,202.78
17,CUST0201,PROD0965,2024-11-22,440.04
18,CUST0517,PROD0606,2024-03-18,132.59
19,CUST0215,PROD0340,2024-01-08,426.55
20,CUST0418,PROD0469,2024-01-14,720.16
21,CUST0602,PROD0739,2024-03-15,333.61
22,CUST0707,PROD0228,2024-07-20,432.24
23,CUST0016,PROD0355,2024-10-08,565.71
24,CUST0260,PROD0670,2024-04-08,558.44
25,CUST0227,PROD0443,2024-05-08,32.46
26,CUST0005,PROD0455,2024-11-07,523.44
27,CUST0214,PROD0146,2024-04-08,585.92
28,CUST0642,PROD0722,2024-10-03,172.04
29,CUST0077,PROD0455,2024-12-20,370.83
30,CUST0552,PROD0764,2024-06-25,309.9
31,CUST0110,PROD0712,2024-12-07,634.06
32,CUST0599,PROD0089,2024-09-04,208.27
33,CUST0028,PROD0200,2024-01-14,302.35
34,CUST0463,PROD0169,2024-07-05,291.49
35,CUST0035,PROD0022,2024-04-12,161.61
36,CUST0673,PROD0915,2024-09-03,484.63
37,CUST0262,PROD0890,2024-10-03,37.0
38,CUST0746,PROD0854,2024-07-21,253.61
39,CUST0867,PROD0568,2024-10-27,676.45
40,CUST0577,PROD0184,2024-02-29,271.31
41,CUST0435,PROD0604,2024-05-09,241.94
42,CUST0830,PROD0276,2024-10-20,264.36
