sale_id,customer_id,product_id,store_id,sale_amount
1,CUST0491,PROD0539,STORE054,262.86
2,CUST0866,PROD0600,STORE053,186.07
3,CUST0286,PROD0390,STORE061,275.81
4,CUST0842,PROD0943,STORE047,237.74
5,CUST0672,PROD0270,STORE069,244.14
6,CUST0708,PROD0712,STORE085,328.92
7,CUST0119,PROD0660,STORE006,315.92
8,CUST0692,PROD0382,STORE077,407.63
9,CUST0088,PROD0597,STORE090,100.67
10,CUST0211,PROD0502,STORE006,455.48
11,CUST0705,PROD0831,STORE089,370.98
12,CUST0729,PROD0373,STORE015,318.98
13,CUST0925,PROD0291,STORE032,370.0
14,CUST0237,PROD0132,STORE055,325.29
15,CUST0533,PROD0502,STORE100,178.34
16,CUST0263,PROD0646,STORE003,149.34
17,CUST0968,PROD0336,STORE043,366.69
18,CUST0089,PROD0848,STORE055,231.45
19,CUST0310,PROD0095,STORE008,48.24
20,CUST0931,PROD0758,STORE056,442.46
21,CUST0946,PROD0929,STORE029,20.5
22,CUST0879,PROD0745,STORE011,297.62
23,CUST0851,PROD0292,STORE094,383.36
24,CUST0863,PROD0332,STORE085,429.95
25,CUST0405,PROD0424,STORE033,164.16
26,CUST0830,PROD0890,STORE062,456.75
27,CUST0357,PROD0491,STORE007,235.34
28,CUST0372,PROD0222,STORE059,203.26
29,CUST0553,PROD0830,STORE079,340.89
30,CUST0503,PROD0905,STORE057,328.38
31,CUST0779,PROD0596,STORE019,27.13
32,CUST0313,PROD0844,STORE055,474.06
33,CUST0313,PROD0632,STORE071,171.84
34,CUST0425,PROD0292,STORE034,476.89
35,CUST0776,PROD0780,STORE042,395.39
36,CUST0236,PROD0530,STORE040,320.93
37,CUST0705,PROD0694,STORE071,312.69
38,CUST0064,PROD0295,STORE026,227.26
39,CUST0384,PROD0527,STORE007,138.11
40,CUST0534,PROD0215,STORE057,82.1
41,CUST0067,PROD0627,STORE066,256.29
42,CUST0029,PROD0255,STORE032,493.45
43,CUST0419,PROD0257,STORE046,352.94
44,CUST0108,PROD0509,STORE070,232.75
45,CUST0808,PROD0252,STORE042,82.11
46,CUST0351,PROD0022,STORE092,466.78
47,CUST0886,PROD0406,STORE058,303.51
48,CUST0353,PROD0927,STORE027,392.22
49,CUST0493,PROD0403,STORE010,346.66
50,CUST0907,PROD0728,STORE019,259.39
51,CUST1000,PROD0750,STORE012,42.62
52,CUST0556,PROD0945,STORE006,55.51
53,CUST0308,PROD0281,STORE072,402.58
54,CUST0312,PROD0281,STORE006,499.09
55,CUST0125,PROD0458,STORE039,190.58
56,CUST0737,PROD0337,STORE084,240.75
57,CUST0684,PROD0964,STORE100,214.98
58,CUST0207,PROD0164,STORE050,327.78
59,CUST0338,PROD0210,STORE031,51.9
60,CUST0368,PROD0014,STORE047,25.42
61,CUST0646,PROD0187,STORE059,100.58
62,CUST0494,PROD0597,STORE020,111.13
63,CUST0354,PROD0440,STORE076,466.62
64,CUST0315,PROD0433,STORE027,221.01
65,CUST0729,PROD0633,STORE016,367.3
66,CUST0238,PROD0912,STORE068,331.45
67,CUST0566,PROD0492,STORE003,375.88
68,CUST0307,PROD0490,STORE027,140.27
69,CUST0425,PROD0939,STORE012,415.29
70,CUST0156,PROD0589,STORE088,276.14
71,CUST0442,PROD0623,STORE066,29.29
72,CUST0817,PROD0603,STORE009,389.77
73,CUST0577,PROD0139,STORE028,246.46
74,CUST0564,PROD0701,STORE048,416.81
75,CUST0637,PROD0065,STORE092,46.93
76,CUST0169,PROD0961,STORE051,147.43
77,CUST0255,PROD0085,STORE042,76.18
78,CUST0964,PROD0724,STORE035,203.04
79,CUST0298,PROD0295,STORE077,362.71
80,CUST0795,PROD0650,STORE076,319.92
81,CUST0085,PROD0708,STORE047,429.59
82,CUST0950,PROD0161,STORE051,282.62
83,CUST0987,PROD0255,STORE048,34.1
84,CUST0856,PROD0722,STORE056,214.47
85,CUST0242,PROD0676,STORE044,100.05
86,CUST0413,PROD0842,STORE020,351.14
87,CUST0365,PROD0728,STORE013,497.78
88,CUST0491,PROD0578,STORE027,131.44
89,CUST0811,PROD0695,STORE053,259.39
90,CUST0368,PROD0570,STORE016,198.56
91,CUST0985,PROD0997,STORE084,259.58
92,CUST0359,PROD0979,STORE081,333.29
93,CUST0457,PROD0367,STORE014,59.83
94,CUST0136,PROD0568,STORE021,455.75
95,CUST0846,PROD0924,STORE061,101.93
96,CUST0238,PROD0473,STORE038,459.7
97,CUST0323,PROD0601,STORE011,203.96
98,CUST0586,PROD0878,STORE028,403.7
99,CUST0932,PROD0889,STORE050,311.85
100,CUST0701,PROD0968,STORE046,256.17
101,CUST0667,PROD0356,STORE077,145.69
102,CUST0160,PROD0542,STORE065,323.69
